image_name,cluster,cluster_label
s1_tree_000.tif,0,cluster_0
s1_tree_001.tif,1,cluster_1
s1_tree_002.tif,1,cluster_1
s1_tree_003.tif,2,cluster_2
s1_tree_004.tif,3,cluster_3
s1_tree_005.tif,1,cluster_1
s1_tree_006.tif,2,cluster_2
s1_tree_007.tif,1,cluster_1
s1_tree_008.tif,2,cluster_2
s1_tree_009.tif,2,cluster_2
s1_tree_010.tif,0,cluster_0
s1_tree_011.tif,2,cluster_2
s1_tree_012.tif,3,cluster_3
s1_tree_013.tif,1,cluster_1
s1_tree_014.tif,1,cluster_1
s1_tree_015.tif,3,cluster_3
s1_tree_016.tif,3,cluster_3
s1_tree_017.tif,1,cluster_1
s1_tree_018.tif,3,cluster_3
s1_tree_019.tif,3,cluster_3
s1_tree_020.tif,2,cluster_2
s1_tree_021.tif,1,cluster_1
s1_tree_022.tif,2,cluster_2
s1_tree_023.tif,0,cluster_0
s1_tree_024.tif,3,cluster_3
s1_tree_025.tif,1,cluster_1
s1_tree_026.tif,1,cluster_1
s1_tree_027.tif,1,cluster_1
s1_tree_028.tif,1,cluster_1
s1_tree_029.tif,3,cluster_3
s1_tree_030.tif,0,cluster_0
s1_tree_031.tif,3,cluster_3
s1_tree_032.tif,1,cluster_1
s1_tree_033.tif,0,cluster_0
s1_tree_034.tif,0,cluster_0
s1_tree_035.tif,2,cluster_2
s1_tree_036.tif,0,cluster_0
s1_tree_037.tif,3,cluster_3
s1_tree_038.tif,2,cluster_2
s1_tree_039.tif,3,cluster_3
s1_tree_040.tif,1,cluster_1
s1_tree_041.tif,2,cluster_2
s1_tree_042.tif,0,cluster_0
s1_tree_043.tif,0,cluster_0
s1_tree_044.tif,1,cluster_1
s1_tree_045.tif,3,cluster_3
s1_tree_046.tif,2,cluster_2
s1_tree_047.tif,1,cluster_1
s1_tree_048.tif,2,cluster_2
s1_tree_049.tif,0,cluster_0
s1_tree_050.tif,2,cluster_2
s1_tree_051.tif,1,cluster_1
s1_tree_052.tif,3,cluster_3
s1_tree_053.tif,0,cluster_0
s1_tree_054.tif,0,cluster_0
s1_tree_055.tif,1,cluster_1
s1_tree_056.tif,0,cluster_0
s1_tree_057.tif,1,cluster_1
s1_tree_058.tif,0,cluster_0
s1_tree_059.tif,2,cluster_2
s1_tree_060.tif,0,cluster_0
s1_tree_061.tif,2,cluster_2
s1_tree_062.tif,2,cluster_2
s1_tree_063.tif,1,cluster_1
s1_tree_064.tif,2,cluster_2
s1_tree_065.tif,0,cluster_0
s1_tree_066.tif,1,cluster_1
s1_tree_067.tif,1,cluster_1
s1_tree_068.tif,2,cluster_2
s1_tree_069.tif,3,cluster_3
s1_tree_070.tif,2,cluster_2
s1_tree_071.tif,1,cluster_1
s1_tree_072.tif,1,cluster_1
s1_tree_073.tif,2,cluster_2
s1_tree_074.tif,0,cluster_0
s1_tree_075.tif,1,cluster_1
s1_tree_076.tif,1,cluster_1
s1_tree_077.tif,1,cluster_1
s1_tree_078.tif,0,cluster_0
s1_tree_079.tif,2,cluster_2
s1_tree_080.tif,1,cluster_1
s1_tree_081.tif,1,cluster_1
s1_tree_082.tif,1,cluster_1
s1_tree_083.tif,1,cluster_1
s1_tree_084.tif,1,cluster_1
s1_tree_085.tif,3,cluster_3
s1_tree_086.tif,0,cluster_0
s1_tree_087.tif,1,cluster_1
s1_tree_088.tif,1,cluster_1
s1_tree_089.tif,1,cluster_1
s1_tree_090.tif,2,cluster_2
s1_tree_091.tif,3,cluster_3
s1_tree_092.tif,3,cluster_3
s1_tree_093.tif,3,cluster_3
s1_tree_094.tif,3,cluster_3
s1_tree_095.tif,1,cluster_1
s1_tree_096.tif,1,cluster_1
s1_tree_097.tif,0,cluster_0
s1_tree_098.tif,0,cluster_0
s1_tree_099.tif,0,cluster_0
s1_tree_100.tif,1,cluster_1
s1_tree_101.tif,2,cluster_2
s1_tree_102.tif,1,cluster_1
s1_tree_103.tif,1,cluster_1
s1_tree_104.tif,1,cluster_1
s1_tree_105.tif,0,cluster_0
s1_tree_106.tif,0,cluster_0
s1_tree_107.tif,0,cluster_0
s1_tree_108.tif,1,cluster_1
s1_tree_109.tif,1,cluster_1
s1_tree_110.tif,1,cluster_1
s1_tree_111.tif,0,cluster_0
s1_tree_112.tif,1,cluster_1
s1_tree_113.tif,1,cluster_1
s1_tree_114.tif,1,cluster_1
s1_tree_115.tif,2,cluster_2
s1_tree_116.tif,3,cluster_3
s1_tree_117.tif,0,cluster_0
s1_tree_118.tif,1,cluster_1
s1_tree_119.tif,0,cluster_0
s1_tree_120.tif,1,cluster_1
s1_tree_121.tif,0,cluster_0
s1_tree_122.tif,1,cluster_1
s1_tree_123.tif,1,cluster_1
s1_tree_124.tif,0,cluster_0
s1_tree_125.tif,2,cluster_2
s1_tree_126.tif,3,cluster_3
s1_tree_127.tif,1,cluster_1
s1_tree_128.tif,2,cluster_2
s1_tree_129.tif,1,cluster_1
s1_tree_130.tif,3,cluster_3
s1_tree_131.tif,0,cluster_0
s1_tree_132.tif,0,cluster_0
s1_tree_133.tif,2,cluster_2
s1_tree_134.tif,2,cluster_2
s1_tree_135.tif,1,cluster_1
s1_tree_136.tif,2,cluster_2
s1_tree_137.tif,1,cluster_1
s1_tree_138.tif,1,cluster_1
s1_tree_139.tif,2,cluster_2
s1_tree_140.tif,1,cluster_1
s1_tree_141.tif,0,cluster_0
s1_tree_142.tif,2,cluster_2
s1_tree_143.tif,3,cluster_3
s1_tree_144.tif,1,cluster_1
s1_tree_145.tif,2,cluster_2
s1_tree_146.tif,1,cluster_1
s1_tree_147.tif,1,cluster_1
s1_tree_148.tif,1,cluster_1
s1_tree_149.tif,1,cluster_1
s1_tree_150.tif,0,cluster_0
s1_tree_151.tif,3,cluster_3
s1_tree_152.tif,1,cluster_1
s1_tree_153.tif,0,cluster_0
s1_tree_154.tif,0,cluster_0
s1_tree_155.tif,2,cluster_2
s1_tree_156.tif,0,cluster_0
s1_tree_157.tif,1,cluster_1
s1_tree_158.tif,1,cluster_1
s1_tree_159.tif,0,cluster_0
s1_tree_160.tif,0,cluster_0
s1_tree_161.tif,1,cluster_1
s1_tree_162.tif,1,cluster_1
s1_tree_163.tif,1,cluster_1
s1_tree_164.tif,1,cluster_1
s1_tree_165.tif,3,cluster_3
s1_tree_166.tif,3,cluster_3
s1_tree_167.tif,1,cluster_1
s1_tree_168.tif,1,cluster_1
s1_tree_169.tif,3,cluster_3
s1_tree_170.tif,1,cluster_1
s1_tree_171.tif,0,cluster_0
s1_tree_172.tif,1,cluster_1
